,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3,Y_close,PL1,PL2,PL3
384,1185.0,1201.9806683615245,1.0,1.0,1028880.0,1.0,1.0,1034095.0,-1.0,-1.0,1204255.0,1213.97,14485.0,14485.0,15455.0
385,1192.8,1183.2843819391928,-1.0,-1.0,1019280.0,-1.0,-1.0,1024495.0,-1.0,-1.0,1203270.0,1212.0,-9600.0,-9600.0,-985.0
386,1207.99,1204.3700555866205,-1.0,-1.0,1022770.0,-1.0,0.0,1024495.0,-1.0,-1.0,1197775.0,1201.01,3490.0,0.0,-5495.0
387,1203.5,1200.54758117514,-1.0,-1.0,1025520.0,-1.0,0.0,1024495.0,-1.0,-1.0,1196270.0,1198.0,2750.0,0.0,-1505.0
388,1195.9,1199.4197114450526,1.0,1.0,1054945.0,1.0,1.0,1053920.0,-1.0,-1.0,1224645.0,1254.75,29425.0,29425.0,28375.0
389,1256.8,1198.8446557409675,-1.0,-1.0,1055195.0,-1.0,-1.0,1054170.0,-1.0,-1.0,1225420.0,1256.3,250.0,250.0,775.0
390,1254.3,1252.2802719360593,-1.0,-1.0,1054245.0,-1.0,0.0,1054170.0,-1.0,-1.0,1225370.0,1256.2,-950.0,0.0,-50.0
391,1262.0,1256.918474732531,-1.0,-1.0,1042745.0,-1.0,0.0,1054170.0,-1.0,-1.0,1239770.0,1285.0,-11500.0,0.0,14400.0
392,1292.79,1268.2194421102831,-1.0,-1.0,1064700.0,-1.0,0.0,1054170.0,-1.0,-1.0,1221710.0,1248.88,21955.0,0.0,-18060.0
393,1249.5,1265.7918801456822,1.0,1.0,1055450.0,1.0,1.0,1044920.0,-1.0,-1.0,1212770.0,1231.0,-9250.0,-9250.0,-8940.0
394,1234.0,1245.7685570224996,1.0,1.0,1054250.0,1.0,0.0,1044920.0,-1.0,-1.0,1213070.0,1231.6,-1200.0,0.0,300.0
395,1231.99,1229.3359676226821,-1.0,-1.0,1053845.0,-1.0,-1.0,1044515.0,-1.0,-1.0,1213670.0,1232.8,-405.0,-405.0,600.0
396,1220.0,1225.8785649991314,1.0,1.0,1065345.0,1.0,1.0,1056015.0,-1.0,-1.0,1218770.0,1243.0,11500.0,11500.0,5100.0
397,1247.0,1235.8485005320285,-1.0,-1.0,1069765.0,-1.0,-1.0,1060435.0,-1.0,-1.0,1216350.0,1238.16,4420.0,4420.0,-2420.0
398,1240.0,1240.6402321247194,1.0,1.0,1067890.0,1.0,1.0,1058560.0,-1.0,-1.0,1215395.0,1236.25,-1875.0,-1875.0,-955.0
399,1243.33,1239.3927450965068,-1.0,-1.0,1060610.0,-1.0,-1.0,1051280.0,-1.0,-1.0,1226215.0,1257.89,-7280.0,-7280.0,10820.0
400,1260.7,1240.133045104176,-1.0,-1.0,1061035.0,-1.0,0.0,1051280.0,-1.0,-1.0,1227195.0,1259.85,425.0,0.0,980.0
401,1260.99,1259.0268025235696,-1.0,-1.0,1059080.0,-1.0,0.0,1051280.0,-1.0,-1.0,1229720.0,1264.9,-1955.0,0.0,2525.0
402,1261.74,1259.9583264370233,-1.0,-1.0,1063210.0,-1.0,0.0,1051280.0,-1.0,-1.0,1224010.0,1253.48,4130.0,0.0,-5710.0
403,1251.99,1264.1219861270474,1.0,1.0,1062660.0,1.0,1.0,1050730.0,-1.0,-1.0,1222715.0,1250.89,-550.0,-550.0,-1295.0
404,1259.0,1252.2139137479162,-1.0,-1.0,1062895.0,-1.0,-1.0,1050965.0,-1.0,-1.0,1226535.0,1258.53,235.0,235.0,3820.0
405,1247.0,1249.8901722513544,1.0,1.0,1055505.0,1.0,1.0,1043575.0,-1.0,-1.0,1213380.0,1232.22,-7390.0,-7390.0,-13155.0
406,1243.97,1249.2862550936654,1.0,1.0,1045515.0,1.0,0.0,1043575.0,-1.0,-1.0,1209265.0,1223.99,-9990.0,0.0,-4115.0
407,1220.37,1230.7950103126325,1.0,1.0,1043080.0,1.0,0.0,1043575.0,-1.0,-1.0,1205020.0,1215.5,-2435.0,0.0,-4245.0
408,1222.99,1222.920284272663,-1.0,-1.0,1043305.0,-1.0,-1.0,1043800.0,-1.0,-1.0,1208540.0,1222.54,225.0,225.0,3520.0
409,1227.0,1217.2391280421073,-1.0,-1.0,1052120.0,-1.0,0.0,1043800.0,-1.0,-1.0,1201955.0,1209.37,8815.0,0.0,-6585.0
410,1216.65,1218.3178110893125,1.0,1.0,1056165.0,1.0,1.0,1047845.0,-1.0,-1.0,1209640.0,1224.74,4045.0,4045.0,7685.0
411,1221.0,1218.9592063740804,-1.0,-1.0,1055415.0,-1.0,-1.0,1047095.0,-1.0,-1.0,1208520.0,1222.5,-750.0,-750.0,-1120.0
412,1225.5,1224.7635225582985,-1.0,-1.0,1049720.0,-1.0,0.0,1047095.0,-1.0,-1.0,1215715.0,1236.89,-5695.0,0.0,7195.0
413,1243.87,1228.3527795994494,-1.0,-1.0,1042710.0,-1.0,0.0,1047095.0,-1.0,-1.0,1226215.0,1257.89,-7010.0,0.0,10500.0
414,1257.51,1236.7320688533398,-1.0,-1.0,1047870.0,-1.0,0.0,1047095.0,-1.0,-1.0,1220865.0,1247.19,5160.0,0.0,-5350.0
415,1253.74,1255.3830664974755,1.0,1.0,1052015.0,1.0,1.0,1051240.0,-1.0,-1.0,1228285.0,1262.03,4145.0,4145.0,7420.0
416,1260.62,1251.8903145113527,-1.0,-1.0,1055825.0,-1.0,-1.0,1055050.0,-1.0,-1.0,1223770.0,1253.0,3810.0,3810.0,-4515.0
