Y,Y_rf,Y_close
805.46,805.4157546016937,813.5
814.42,812.1033750951907,824.85
826.68,813.0810591144661,827.18
828.0,823.4857814646731,826.5
826.5,825.8929979466146,829.98
828.73,827.2140147035109,829.75
830.9,829.608859711208,831.23
827.5,827.0442141670553,827.4
828.92,832.0637413396137,829.99
830.05,827.9744414396023,824.51
826.94,829.1618638753635,829.0
828.71,827.7203645920481,844.61
845.59,829.3048934913609,850.05
853.0,842.4029186764482,859.39
861.62,849.6696182918483,838.0
840.01,856.8536655577113,844.51
840.8,837.8404307869807,822.55
823.0,844.7879289070371,823.0
825.0,824.4169724063239,814.1
814.13,820.5120329289275,816.99
819.21,819.616123300134,820.13
819.0,819.1973992059793,820.15
823.5,822.6299726116297,828.8
831.37,820.4543899382951,829.57
833.0,828.9808002224833,829.06
833.0,831.7423821093399,834.72
837.4,832.6793201583222,838.96
840.0,835.3334564378738,839.6
841.0,839.8663327448194,837.6
837.25,839.6237058829711,841.2
841.0,842.0378050082694,846.5
849.3,841.8133768948383,849.27
846.53,846.6580800312097,851.36
849.5,850.2345036523536,850.0
846.01,849.2674367834182,847.81
846.08,848.5402577938675,848.13
848.75,848.2348715022665,845.16
852.0,849.0495441910903,856.34
854.9,845.9101990508733,851.25
847.5,853.6967182853342,849.0
847.5,852.3899562440206,847.27
844.86,848.3709637693366,850.0
851.13,847.5033875629198,854.99
854.99,851.2568978693803,858.2
862.9,855.7887707317807,861.55
861.6,858.4076147275392,864.95
864.58,864.0902759437928,865.96
867.0,865.4486345360413,868.39
868.39,866.2401799605041,870.75
870.05,870.864397087899,872.7
873.0,871.777959989231,868.0
869.87,872.182817417844,849.5
847.0,868.6213284848901,849.98
848.8,851.397839100353,840.17
840.0,850.6141808290145,836.0
829.69,839.0305367625529,838.51
838.51,838.2613248968296,841.0
846.0,837.0979657865439,850.99
850.94,840.6127628241646,849.99
847.6,848.6524374315231,847.8
849.0,849.6233021838655,857.01
853.0,848.5212228481442,852.11
851.3,853.2236077473942,848.3
850.8,851.0257853974083,845.0
846.7,849.2596750819622,841.16
842.12,846.1334263805861,841.7
841.7,841.8684091587484,840.9
838.46,842.4612702471521,841.46
840.37,840.2183907149056,838.0
841.77,841.6760029949173,855.9
852.79,840.903587204595,853.99
857.01,854.2088381685812,857.2
859.0,855.6145024381802,861.25
861.21,857.9037889740974,858.9
869.18,862.9407198815944,879.0
